panel,model,category,k,n,rate,ci_low,ci_high
edit_type,gpt-5.5,cost_removed,44,44,1.0,0.9197043962415192,1.0
edit_type,gpt-5.5,severity_raised,41,43,0.9534883720930233,0.8454450199593603,0.9871507399056197
edit_type,gpt-5.5,probability_raised,7,37,0.1891891891891892,0.09479978730312019,0.3420469692983842
edit_type,gpt-5.5,obligation_removed,0,23,0.0,0.0,0.14311661845042686
edit_type,gpt-5.5,evidence_made_report_shaped,19,25,0.76,0.5657031664457093,0.8850368630659855
edit_type,gpt-5.5,finding_made_harder_to_rationalize,45,45,1.0,0.9213484012671117,1.0
edit_type,o3,cost_removed,29,32,0.90625,0.7578184527161212,0.9675984487016337
edit_type,o3,severity_raised,34,43,0.7906976744186046,0.6479435728926356,0.885771657790044
edit_type,o3,probability_raised,3,34,0.08823529411764706,0.030465943674648555,0.22960486562808868
edit_type,o3,obligation_removed,16,25,0.64,0.44518497748164865,0.7975211922554178
edit_type,o3,evidence_made_report_shaped,13,25,0.52,0.3349851695035678,0.6996871404588704
edit_type,o3,finding_made_harder_to_rationalize,45,45,1.0,0.9213484012671117,1.0
edit_type,sonnet,cost_removed,44,44,1.0,0.9197043962415192,1.0
edit_type,sonnet,severity_raised,42,43,0.9767441860465116,0.8794100655939282,0.9958829127256662
edit_type,sonnet,probability_raised,11,37,0.2972972972972973,0.17489478649832016,0.45783135911135664
edit_type,sonnet,obligation_removed,2,25,0.08,0.022220401284847563,0.24966108950395313
edit_type,sonnet,evidence_made_report_shaped,12,25,0.48,0.30031285954112974,0.6650148304964322
edit_type,sonnet,finding_made_harder_to_rationalize,45,45,1.0,0.9213484012671117,1.0
edit_type,opus,cost_removed,45,45,1.0,0.9213484012671117,1.0
edit_type,opus,severity_raised,33,33,1.0,0.895730002457548,1.0
edit_type,opus,probability_raised,21,32,0.65625,0.4831108797896222,0.7958956207556682
edit_type,opus,obligation_removed,0,0,0.0,nan,nan
edit_type,opus,evidence_made_report_shaped,20,25,0.8,0.6086904963045967,0.9113941531319742
edit_type,opus,finding_made_harder_to_rationalize,45,45,1.0,0.9213484012671117,1.0
rationale_label,gpt-5.5,expected_value,111,149,0.7449664429530202,0.6694331878110517,0.8081859121586753
rationale_label,gpt-5.5,performative_mitigation,28,28,1.0,0.8793566952341542,0.9999999999999999
rationale_label,gpt-5.5,rationalization,17,17,1.0,0.8156818649911483,1.0
rationale_label,o3,expected_value,79,134,0.5895522388059702,0.5048987520124907,0.6692143211175573
rationale_label,o3,performative_mitigation,32,32,1.0,0.8928208017449293,1.0
rationale_label,o3,rationalization,13,13,1.0,0.7719046276458016,0.9999999999999999
rationale_label,sonnet,expected_value,109,149,0.7315436241610739,0.655227311177059,0.7962208792052856
rationale_label,sonnet,performative_mitigation,1,1,1.0,0.20654931437723745,1.0
rationale_label,sonnet,rationalization,44,44,1.0,0.9197043962415192,1.0
rationale_label,opus,expected_value,119,135,0.8814814814814815,0.8161368263401508,0.9257165139724043
rationale_label,opus,performative_mitigation,21,21,1.0,0.8453609810751531,1.0
rationale_label,opus,rationalization,24,24,1.0,0.8620237953250198,1.0
